# BEAST v1.6.1, Build r3651
# Generated Sun Nov 08 18:54:00 EST 2015 [seed=1447026808856]
state	posterior	prior	likelihood	treeModel.rootHeight	tmrca(Felis/Lynx/Puma)	tmrca(Lion/Leopard)	tmrca(untitled3)	yule.birthRate	kappa	alpha	ucld.mean	ucld.stdev	meanRate	coefficientOfVariation	covariance	treeLikelihood	speciation
13400	-8129.656422528888	-27.416503725395103	-8102.239918803492	15.358526865854532	4.329627321002271	2.4092450312169302	4.604949117766682	0.04385888947898448	1.849094848348796	0.48553314337070713	0.04028578462657531	0.09304653316941286	0.040564284178535755	0.042997088340388366	-0.10570915762421146	-8102.239918803492	-21.308034959857476
13600	-8129.394770898257	-26.571479960941357	-8102.8232909373155	28.022941839511592	7.601254996340694	3.8458908560925398	7.601254996340694	0.04385888947898448	1.849094848348796	0.48553314337070713	0.024245128935562764	0.0716298110128998	0.02350800901388	0.056637976877902035	-0.08327908398131029	-8102.8232909373155	-23.394530820832763
13800	-8128.489343175466	-27.51616649892545	-8100.973176676541	32.52335488752774	8.202989928234508	4.154586422372565	8.202989928234508	0.04385888947898448	1.849094848348796	0.48553314337070713	0.024245128935562764	0.1103552334287457	0.022356608476312413	0.08870089779205709	-0.35375500289565154	-8100.973176676541	-23.89988554304745
14000	-8125.460805014024	-25.83872090323362	-8099.622084110791	23.86538355138347	6.502915510246756	3.3943219007323964	6.502915510246756	0.048687862737938875	1.849094848348796	0.48553314337070713	0.02906455097184165	0.12286593997899468	0.02691204847605393	0.1220010258709619	-0.0151093525124546	-8099.622084110791	-22.409004046947448
14200	-8125.6561669113335	-25.89236458870009	-8099.763802322634	17.714416898450295	4.875553674033623	2.5448890713544974	4.875553674033623	0.1274889974134175	1.849094848348796	0.48553314337070713	0.03876571399875088	0.0776033860323748	0.038184688123642195	0.05676164227085808	0.11831905758536207	-8099.763802322634	-20.735038420337716
14400	-8130.704846102655	-26.242435604611757	-8104.462410498043	13.040826089241566	3.8468979886311883	2.6507783663590985	4.574722553614341	0.06887677436716398	1.849094848348796	0.48553314337070713	0.04351651507975743	0.05562164305289996	0.04368683531109947	0.05028613132153087	-0.4309571058276212	-8104.462410498043	-19.70785507547748
14600	-8129.718075943374	-24.94265309542639	-8104.775422847948	14.276843532139367	4.756707555722554	3.122408064970459	5.060140319119949	0.06887677436716398	1.8933133625645027	0.48553314337070713	0.03530954458493831	0.099791379604229	0.036608266576374456	0.11140178732932449	0.6596313394080894	-8104.775422847948	-20.015111365971908
14800	-8127.380503857399	-26.772145992067646	-8100.6083578653315	14.576282331468224	4.43092309521612	3.019824585103474	5.009922140989414	0.0457837932496949	1.8933133625645027	0.48553314337070713	0.03682497009328545	0.15324525693596347	0.03651539222497126	0.0911784353946259	0.3111956649215018	-8100.6083578653315	-21.173625719207145
15000	-8127.5368320256675	-25.450790466765127	-8102.086041558902	16.913840818172176	4.794982174654468	3.4617183129523132	5.701636237292848	0.07215956857087301	1.8933133625645027	0.48553314337070713	0.03212420537434279	0.13267690260535164	0.033854169533746765	0.095030617108369	-0.16481989537037353	-8102.086041558902	-20.605425361326493
15200	-8129.331427068804	-28.305321949245933	-8101.026105119558	26.83484188354784	7.644094443864303	3.8587820389335294	7.644094443864303	0.1294881358367193	1.8933133625645027	0.48553314337070713	0.023961050560228	0.0561985362196435	0.024351878979992615	0.04826417136047849	-0.3153265300000884	-8101.026105119558	-25.144188120333418
