# BEAST v1.6.1, Build r3651
# Generated Sat Jan 02 17:26:21 EST 2016 [seed=1451773564380]
state	posterior	prior	likelihood	treeModel.rootHeight	tmrca(HIV-1)	tmrca(HIV-2)	tmrca(SIV-cpz)	tmrca(SIV-smm)	constant.popSize	CP1.kappa	CP2.kappa	CP3.kappa	CP1.alpha	CP2.alpha	CP3.alpha	CP1.mu	CP2.mu	CP3.mu	clock.rate	CP1.treeLikelihood	CP2.treeLikelihood	CP3.treeLikelihood	coalescent
4300	-343404.7212729044	-1002.6434720023257	-342402.0778009021	3128066.4857823355	1565472.674439645	733429.2500765526	1968167.957953391	1064164.7526930163	1.7781965963057067E7	2.633295601456634	2.6610401269722583	3.15558450776288	0.6385099996140824	0.6386817469804289	0.6472607938130251	0.9256149034796312	0.9712201687220309	1.1031841785779233	2.508683606039331E-7	-109037.10872870786	-113232.39750756338	-120132.57156463081	-987.6888672479141
4400	-343287.4556382982	-1036.46355050251	-342250.9920877957	5548564.448697377	2717787.390499715	1273292.5973270107	3416899.0272704544	1844100.5086483401	2.32679416643171E7	2.633295601456634	2.6610401269722583	3.15558450776288	0.6385099996140824	0.6386817469804289	0.6856467118387337	0.9256149034796312	0.9712201687220309	1.1031841785779233	1.4450268066580375E-7	-108993.10921895741	-113196.47227957722	-120061.41058926102	-1021.7911326776792
4500	-342779.66801080864	-1025.6070228293927	-341754.06098797923	4691312.850522818	2297890.0268579335	1076569.260309871	2888989.1184982206	1559187.5148730872	2.7812625415550716E7	2.633295601456634	2.6610401269722583	3.15558450776288	0.6385099996140824	0.6386817469804289	0.6856467118387337	0.9238964949503096	0.9712201687220309	1.1049029077656753	1.570728075190491E-7	-108832.83254403774	-113036.16351358627	-119885.06493035522	-1010.672863484304
4600	-342386.2128822113	-1025.214733024797	-341360.99814918655	4703227.694264378	2297890.0268579335	1085448.9504101465	2884111.8525514193	1559660.3472332866	2.7812625415550716E7	2.633295601456634	2.6610401269722583	3.15558450776288	0.6385099996140824	0.6386817469804289	0.6856467118387337	0.9238964949503096	0.9834811018710811	1.0926396867022476	1.570728075190491E-7	-108716.37630855425	-112915.69219409002	-119728.92964654228	-1010.2805736797084
4700	-342157.1939675224	-1053.2433998908928	-341103.9505676315	7828406.838738897	3832304.9282036633	1810228.7056370352	4809901.067925694	2601082.18865447	3.944257382881048E7	2.633295601456634	2.8376957818213984	3.15558450776288	0.6385099996140824	0.6386817469804289	0.6856467118387337	0.9238964949503096	0.9834811018710811	1.0926396867022476	9.418396334596202E-8	-108636.18009431934	-112795.76618119168	-119672.00429212053	-1038.4061110530643
4800	-341966.2845545625	-1040.9826786955325	-340925.30187586695	6047434.663054869	3086685.6464389735	1458027.758005349	3874079.1417443077	2095011.541968078	3.35754360463183E7	2.633295601456634	2.8376957818213984	3.15558450776288	0.6385099996140824	0.6386817469804289	0.6856467118387337	0.9178670358970067	0.9895105609243839	1.0926396867022476	1.2016228490704156E-7	-108579.15101529306	-112735.4644290563	-119610.6864315176	-1026.0630912315821
4900	-341645.2538783206	-1047.716800834963	-340597.53707748564	6805556.903437142	3473640.6394263674	1640809.9345853573	4359743.844548023	2357647.673206781	3.35754360463183E7	2.633295601456634	2.8376957818213984	3.15558450776288	0.6385099996140824	0.6386817469804289	0.6856467118387337	0.9178670358970067	0.9895105609243839	1.0926396867022476	1.0677650297387303E-7	-108472.1921565943	-112629.23621299326	-119496.10870789808	-1032.9152005763758
5000	-341431.647666151	-1029.4647957048926	-340402.1828704461	5017764.261511039	2561129.1045179586	1210818.947080899	3214456.5335229603	1738303.0373130592	2.579804882149534E7	2.633295601456634	2.8376957818213984	3.15558450776288	0.6385099996140824	0.6386817469804289	0.6856467118387337	0.9178670358970067	0.9895105609243839	1.0926396867022476	1.460618987902781E-7	-108426.12507399065	-112572.4296600392	-119403.62813641629	-1014.6137120029674
5100	-341159.76338082383	-1019.053530046575	-340140.70985077723	4050444.368854904	2072979.8613649572	977398.4050079236	2594776.61495722	1403194.6065811738	1.7592089124989305E7	2.633295601456634	2.8376957818213984	3.15558450776288	0.6385099996140824	0.6386817469804289	0.6856467118387337	0.9178670358970067	0.9895105609243839	1.0926396867022476	1.8094414068585225E-7	-108329.90037696701	-112485.92525509176	-119324.88421871846	-1004.3713521725577
5200	-341028.71502588835	-1006.8089509260074	-340021.90607496235	3322115.355436715	1700227.8273231834	801647.9067392154	2128197.9090394154	1150879.736809511	1.7592089124989305E7	2.633295601456634	2.8376957818213984	3.15558450776288	0.6385099996140824	0.6386817469804289	0.6856467118387337	0.9178670358970067	0.9895105609243839	1.0926396867022476	2.2061370461410561E-7	-108288.53860964603	-112446.53495690793	-119286.83250840838	-991.9287464162896
