# BEAST v1.6.1, Build r3651
# Generated Tue Jan 05 02:06:50 EST 2016 [seed=1451977571559]
state	posterior	prior	likelihood	treeModel.rootHeight	tmrca(CPZ)	tmrca(HIV-1)	tmrca(HIV-2)	tmrca(SMM)	constant.popSize	CP1.kappa	CP2.kappa	CP3.kappa	CP1.alpha	CP2.alpha	CP3.alpha	CP1.mu	CP2.mu	CP3.mu	clock.rate	CP1.treeLikelihood	CP2.treeLikelihood	CP3.treeLikelihood	coalescent
47000	-335863.75393028493	-1103.0868632997735	-334760.66706698516	2.5425489366679456E7	1.2199467743870819E7	9466625.166600581	4798981.578078858	6321361.653357763	1.1447722283513422E8	2.8731793578065132	3.3532822143044823	3.4225808896572394	0.7094542209225146	0.651508570604473	0.7483926085810748	0.9330567962364519	0.9984573019083559	1.0684859018551922	3.839835842759502E-8	-106466.5424126265	-110738.65911613115	-117555.46553822752	-1087.720993215964
48000	-335828.1479787513	-1076.5439164248949	-334751.60406232637	1.6099569357733091E7	7516461.81135404	5832082.2787328325	2918431.1803069324	3893070.045167841	7.56969070626642E7	2.8731793578065132	3.3532822143044823	3.4225808896572394	0.7094542209225146	0.651508570604473	0.7483926085810748	0.9330567962364519	0.9984573019083559	1.0684859018551922	6.273715814876692E-8	-106456.69705085926	-110735.68008322263	-117559.22692824446	-1061.1012366578213
49000	-335877.8672603377	-1122.9414966378224	-334754.92576369987	3.733884743213904E7	1.726947445422634E7	1.357394664421224E7	6576806.363584629	9063565.279456351	1.2272660174227199E8	2.8731793578065132	3.3532822143044823	3.4225808896572394	0.7094542209225146	0.651508570604473	0.7151877168499894	0.9330567962364519	0.9984573019083559	1.0684859018551922	2.7065515672398828E-8	-106456.17820985283	-110737.82361594385	-117560.92393790318	-1107.8554478206374
50000	-335908.75161314144	-1155.6932412548501	-334753.0583718866	6.722733887008546E7	3.1238525678743627E7	2.4553186870372873E7	1.1903977349669125E7	1.6404226768548328E7	2.5995392493881628E8	2.8731793578065132	3.3532822143044823	3.4225808896572394	0.7094542209225146	0.651508570604473	0.7332261652930716	0.9330567962364519	0.9984573019083559	1.0684859018551922	1.499804099355218E-8	-106458.39309404623	-110739.99288213895	-117554.67239570143	-1140.4463976656655
51000	-335906.2658655616	-1152.4835545387468	-334753.78231102286	6.133507132861792E7	2.946238609649115E7	2.3160365733755536E7	1.1233347896723876E7	1.5471953123268565E7	2.3360812727755117E8	2.8731793578065132	3.3532822143044823	3.4225808896572394	0.7094542209225146	0.651508570604473	0.7332261652930716	0.9330567962364519	0.9984573019083559	1.0684859018551922	1.5879913541848564E-8	-106461.89992049972	-110742.02241607245	-117549.85997445072	-1137.2864920275488
52000	-335875.119920446	-1117.1653110779253	-334757.9546093681	3.2454423446997944E7	1.5657142550115764E7	1.2332414535643883E7	6198096.13446118	8239584.363194613	1.19540103117017E8	2.8731793578065132	3.3532822143044823	3.4225808896572394	0.7227526756663534	0.651508570604473	0.7332261652930716	0.9452338261974426	0.9862802719473652	1.0684859018551922	3.035291485789831E-8	-106465.81179111323	-110738.40537435058	-117553.73744390428	-1101.9910519970176
53000	-335862.63875407743	-1104.1179497699004	-334758.52080430754	2.5444342467113E7	1.2303032468125531E7	9685114.584964685	4869927.446915935	6470849.0057362495	8.524663598580389E7	2.8731793578065132	3.3532822143044823	3.462429825830419	0.7223281825938568	0.651508570604473	0.7332261652930716	0.9290939171300796	1.004765279365167	1.0661408035047535	3.8351846116604695E-8	-106463.87143092255	-110744.2630223934	-117550.38635099163	-1089.0347923010718
54000	-335833.9918360263	-1069.804153782239	-334764.18768224405	1.4200807638200128E7	6593573.8837783355	5168910.651098484	2632004.859095678	3466658.8524548043	6.686542597703044E7	2.8731793578065132	3.3532822143044823	3.462429825830419	0.7223281825938568	0.6669754896453395	0.7332261652930716	0.9290939171300796	1.004765279365167	1.0661408035047535	6.985584223230805E-8	-106466.55123429083	-110745.03627240761	-117552.60017554562	-1054.36483151063
55000	-335839.133205678	-1078.235793554285	-334760.89741212374	1.5817870784137787E7	7603294.405028258	6062598.5404787855	3083018.890681024	4061260.6095683025	7.426701235681243E7	2.8731793578065132	3.3532822143044823	3.4367290039586766	0.7223281825938568	0.6669754896453395	0.7332261652930716	0.9290939171300796	0.9869906858901724	1.083915396979748	6.04095207287095E-8	-106467.60057662893	-110742.43278757318	-117550.86404792158	-1062.8452146348734
56000	-335792.0162845368	-1031.6033255786924	-334760.4129589581	7091641.540944453	3316076.989717044	2641247.2251653797	1309868.9447121783	1773950.4098669845	3.2315724149937514E7	2.8731793578065132	3.3532822143044823	3.4367290039586766	0.7223281825938568	0.6669754896453395	0.7332261652930716	0.9357582954608974	0.9869906858901724	1.0772510186489301	1.385007460009805E-7	-106464.25767321352	-110748.23626846485	-117547.91901727975	-1016.2159603432992
57000	-335848.28896412806	-1085.5293923352865	-334762.7595717928	1.8494296530367326E7	8767896.436373163	6982151.094831266	3545930.094179186	4695071.743024933	6.3643937946415596E7	2.8731793578065132	3.3532822143044823	3.4367290039586766	0.7223281825938568	0.6669754896453395	0.7332261652930716	0.9200264373655145	0.9869906858901724	1.092982876744313	5.267679718977571E-8	-106469.21314476583	-110749.77049057528	-117543.77593645168	-1070.4300108812054
58000	-335864.0296372247	-1104.5367110743368	-334759.4929261503	2.5274894530345075E7	1.2308083287235731E7	9720249.85059972	4962662.10001127	6594370.048208395	1.1231419037959355E8	2.8731793578065132	3.3532822143044823	3.4367290039586766	0.7196916276392479	0.6669754896453395	0.7332261652930716	0.9200264373655145	1.0194291335697838	1.0605444290647017	3.7518244436917935E-8	-106471.62259422468	-110745.37126594079	-117542.49906598483	-1089.2083418820332
