# BEAST v1.6.1, Build r3651
# Generated Wed Jan 06 01:39:04 EST 2016 [seed=1452062334603]
state	posterior	prior	likelihood	treeModel.rootHeight	tmrca(HIV-1)	tmrca(HIV-2)	tmrca(SIV-cpz)	tmrca(SIV-smm)	constant.popSize	kappa	alpha	clock.rate	treeLikelihood	coalescent
68000	-336488.14725358074	-1663.496540092706	-334824.65071348805	5.956809465982245E11	2.1552650723743887E11	1.1300965895631844E11	2.7882115222926917E11	1.5548161756403397E11	3.0125855650140293E12	3.2627110744264383	0.6917958933086248	1.6491230843098634E-12	-334824.65071348805	-1652.6169749079731
69000	-336518.74942984787	-1691.0085193882041	-334827.74091045966	9.992783431074724E11	3.6542594494869763E11	1.916070051653236E11	4.727387922481649E11	2.636206894151811E11	3.983636217807313E12	3.2627110744264383	0.6917958933086248	9.848147341225689E-13	-334827.74091045966	-1680.3645877602885
70000	-336475.77916479396	-1650.2474354848966	-334825.53172930906	4.912960618007949E11	1.7705204263741617E11	9.283702377150507E10	2.290455747676284E11	1.2034861595415388E11	1.910307873796E12	3.2627110744264383	0.6917958933086248	2.025988984630105E-12	-334825.53172930906	-1639.6177961104227
71000	-336487.9161408655	-1655.738127407009	-334832.17801345844	5.394488432673839E11	1.9452519364467523E11	1.0199754655626338E11	2.53310449967726E11	1.3627539805296701E11	1.912725616688719E12	3.2627110744264383	0.6917958933086248	1.855545154749979E-12	-334832.17801345844	-1645.1950147553314
72000	-336544.5528648523	-1712.7597433876647	-334831.79312146467	1.4421830490519263E12	5.1639948392001337E11	2.748903539664641E11	6.724623917909225E11	3.6863792440009894E11	4.1345364759274336E12	3.2627110744264383	0.6917958933086248	6.925018909791909E-13	-334831.79312146467	-1702.4304219850537
73000	-336521.56293149537	-1686.7112779032357	-334834.85165359214	9.438393642253319E11	3.373808677252933E11	1.7959590985103046E11	4.393430497697415E11	2.3790261956044656E11	3.5199887890011475E12	3.2627110744264383	0.6917958933086248	1.0635192067833948E-12	-334834.85165359214	-1676.114275222422
74000	-336493.0116988779	-1656.1383385518552	-334836.87336032605	5.256947349200025E11	1.9263150395067047E11	1.025424934053078E11	2.5084502063196506E11	1.3583209044219655E11	2.5038585442509985E12	3.2627110744264383	0.6917958933086248	1.871831105543264E-12	-334836.87336032605	-1645.3171923125938
75000	-336487.0854553516	-1655.756143910152	-334831.32931144146	5.284098579848902E11	1.9370561818019876E11	1.0384087851568492E11	2.4977421783795758E11	1.3755119572794684E11	2.1854922753727969E12	3.2627110744264383	0.6917958933086248	1.819308272314874E-12	-334831.32931144146	-1645.0994218629014
76000	-336550.75583851326	-1714.053615329986	-334836.7022231833	1.4378680625648684E12	5.3903475245211633E11	2.8803667701924896E11	6.928135674527666E11	3.8153270989389594E11	4.788017212426715E12	3.2627110744264383	0.6917958933086248	6.675816496308266E-13	-334836.7022231833	-1703.6141653843597
77000	-336533.61636383826	-1701.247871527642	-334832.36849231063	1.2106189017174006E12	4.389542669875013E11	2.3231342929729965E11	5.623843172327487E11	3.0970240133827057E11	4.532386061180253E12	3.2487061449799315	0.6917958933086248	8.205246358183415E-13	-334832.36849231063	-1690.6620118239127
78000	-336540.09452649025	-1707.7767126516753	-334832.3178138386	1.4102433040537712E12	4.9186200363525867E11	2.5696472746422052E11	6.301589584752496E11	3.470268451197693E11	5.275846197729872E12	3.2487061449799315	0.6917958933086248	7.179421329378585E-13	-334832.3178138386	-1697.1723837994464
79000	-336511.4830632954	-1688.9078761211958	-334822.57518717425	9.664164928691914E11	3.4960163163090936E11	1.8251278208456488E11	4.475807209891518E11	2.464801782186741E11	4.045446397803766E12	3.2487061449799315	0.6917958933086248	1.0277828778761827E-12	-334822.57518717425	-1678.210682975584
80000	-336537.82247777394	-1713.8567644879658	-334823.96571328596	1.48445138652335E12	5.474564681140114E11	2.827291278374881E11	6.933472889118531E11	3.81820366954007E11	4.903444706147316E12	3.2487061449799315	0.6917958933086248	6.617106373598315E-13	-334823.96571328596	-1703.407115813182
81000	-336477.57880147285	-1649.4505618956093	-334828.1282395772	4.6877048811214905E11	1.723911214936402E11	8.962002745657962E10	2.220324202170726E11	1.2240198307471202E11	2.0405945229597996E12	3.2487061449799315	0.6917958933086248	2.0728600350619996E-12	-334828.1282395772	-1638.7368956028179
82000	-336437.4582556037	-1614.0054379277296	-334823.45281767595	2.6302294584829163E11	9.106741012221638E10	4.734411500228736E10	1.1728977232618156E11	6.465819256940804E10	1.1494337333461506E12	3.2487061449799315	0.6917958933086248	3.9908318173368705E-12	-334823.45281767595	-1603.211328116631
83000	-336446.07993089047	-1629.2560265805055	-334816.82390430995	3.3639883303179443E11	1.1928174824334633E11	6.2011438790263985E10	1.5362975800951395E11	8.468926105926411E10	1.5515972266137917E12	3.2487061449799315	0.6917958933086248	2.9718384201797487E-12	-334816.82390430995	-1618.45642542334
84000	-336460.8171473099	-1645.8895463078654	-334814.92760100204	4.3895121446095184E11	1.656892656525347E11	8.305896394291129E10	2.0577508149235565E11	1.1343807908867792E11	2.1152686114979443E12	3.2487061449799315	0.6917958933086248	2.2506362404241392E-12	-334814.92760100204	-1635.0577380527748
85000	-336470.9516557487	-1648.9544401847108	-334821.997215564	4.67468426400118E11	1.733256079552242E11	8.686057752830534E10	2.1872177152509485E11	1.186312194539137E11	2.3224450469230103E12	3.2487061449799315	0.6917958933086248	2.1758140024560132E-12	-334821.997215564	-1638.062969498011
86000	-336462.2343083482	-1643.2373725939194	-334818.9969357543	4.233769531395752E11	1.618668697251534E11	8.111734081522336E10	2.0426046490060873E11	1.1078896068585367E11	1.634161963673218E12	3.2487061449799315	0.6917958933086248	2.2961899570327927E-12	-334818.9969357543	-1632.6435978129243
87000	-336484.173724104	-1660.367613229399	-334823.80611087463	5.852319493081167E11	2.1680218340284616E11	1.0828005796667805E11	2.7266374177922372E11	1.4788788644174408E11	1.873600809674278E12	3.2487061449799315	0.6917958933086248	1.738239617329587E-12	-334823.80611087463	-1649.915206358587
88000	-336460.070906337	-1640.3024799189916	-334819.768426418	4.254471568935468E11	1.5350926829824115E11	7.471474804766057E10	1.9306568680161084E11	1.0471302277422308E11	1.6093352372292854E12	3.2487061449799315	0.6917958933086248	2.433998782123369E-12	-334819.768426418	-1629.6657880519115
89000	-336421.9595870406	-1593.5855914430895	-334828.3739955975	1.6993455368284393E11	6.661965320937691E10	3.2340358130647717E10	8.378948118510342E10	4.5499510182738396E10	7.486119473157223E11	3.2487061449799315	0.6917958933086248	5.63534035059936E-12	-334828.3739955975	-1582.8755727688952
90000	-336394.7332483932	-1576.1692198937656	-334818.5640284995	1.3547154229851088E11	4.798687370342862E10	2.452797831641437E10	6.137394645795172E10	3.3181309381692924E10	4.860731935927974E11	3.2487061449799315	0.6917958933086248	7.614559614837989E-12	-334818.5640284995	-1565.5903591540714
91000	-336405.202756314	-1586.9356263521224	-334818.26712996187	1.528087446310336E11	5.636287155755364E10	2.8784933373422623E10	7.209044453495903E10	3.897209112516868E10	7.610841264354685E11	3.2487061449799315	0.6917958933086248	6.56302170392471E-12	-334818.26712996187	-1576.0568433499861
92000	-336460.84696364077	-1637.3361581622141	-334823.51080547855	3.856730754652517E11	1.4050971931604965E11	7.17553054942348E10	1.7971424443307077E11	9.715363675459392E10	1.7847799006600645E12	3.2487061449799315	0.6917958933086248	2.6265014468377465E-12	-334823.51080547855	-1626.5199512892077
93000	-336428.5213721193	-1609.5310954850618	-334818.9902766342	2.4212475133672195E11	8.696137246836847E10	4.317016243474626E10	1.1053225527122426E11	6.012813320405413E10	9.502435954773248E11	3.2487061449799315	0.6852512840759191	4.136406668071835E-12	-334818.9902766342	-1598.8915000563393
